SID,DOB,DOT,Age,Sex,Language,Experimenter,Location,Entered_By,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response_final,Correct,Mem_check_1_single,Mem_check_1_double,Mem_check_1_final,Mem_check_2_single,Mem_check_2_double,Mem_check_2_final,Notes,Exclude_trial,Exclude_trial_reason,repeated alts
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,GiveN,1,6,6,6,6,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,GiveN,2,9,9,9,9,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,GiveN,3,7,7,7,7,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,GiveN,4,5,5,5,5,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,training,1,2,2,2,1,,0,0,,1,1,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,1,5,6,6,6,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,2,7,8,8,8,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,3,16,17,17,17,1,,1,1,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,4,24,26,26,26,0,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,5,52,53,53,53,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,6,71,72,72,72,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,7,105,106,106,106,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,8,107,108,108,108,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,9,116,117,117,117,1,,1,1,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,10,224,226,226,226,0,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,11,252,253,253,253,1,,0,0,,0,0,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,SF,12,271,272,272,272,1,,1,1,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,training,1,2,2,2,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,1,5,6,6,6,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,2,7,8,8,8,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,3,16,61,61,61,0,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,4,24,25,525,25,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,5,52,53,53,53,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,6,71,72,72,72,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,7,105,106,106,106,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,8,107,108,108,108,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,9,116,161,161,161,0,,1,1,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,10,224,225,225,225,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,11,252,253,253,253,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,NN,12,271,272,272,272,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,Sample Item A,Apple,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,1,Sun,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,2,Book,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,3,Cake,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,4,Leaf,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,5,Balloon,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,6,Leaf,NA,NA,NA,NA,,,,,,,,1,no data,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,Sample Item B,SockFlower,0,0,0,0,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,7,PresentTire,1,1,1,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,8,KiteHydrant,1,1,1,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,9,DuckClover,1,1,1,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,10,TireHydrant,1,1,1,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,11,CloverKite,1,1,1,1,,,,,,,,0,,
061318-WE,12/23/2012,06/13/18,5.470225873,M,English,KG,Lab,CF,0,,0,,,WPPSI,12,PresentDucck,0,0,0,0,,,,,,,,0,,
